season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff,winner
1999,BOSTON CELTICS,DETROIT PISTONS,5.3,6.1,4.2,1
1999,MILWAUKEE BUCKS,INDIANA PACERS,2,2.5,1.4,1
1999,GOLDEN STATE WARRIORS,LOS ANGELES LAKERS,5.5,6.2,6.1,1
1999,NEW JERSEY NETS,PHILADELPHIA 76ERS,5.9,6.6,5.2,1
1999,SAN ANTONIO SPURS,PHOENIX SUNS,-5.8,-6.9,-5.3,0
1999,UTAH JAZZ,PORTLAND TRAIL BLAZERS,-0.1,-0.8,-3.5,0
1999,MINNESOTA TIMBERWOLVES,SACRAMENTO KINGS,-0.8,-0.9,0.1,0
1999,CHARLOTTE HORNETS,WASHINGTON WIZARDS,-2.1,-2.3,-3.5,0
1999,TORONTO RAPTORS,ATLANTA HAWKS,4.5,5,3.6,1
1999,VANCOUVER GRIZZLIES,DALLAS MAVERICKS,6.3,6.6,4.7,1
1999,ORLANDO MAGIC,GOLDEN STATE WARRIORS,-5.1,-5.5,-5.3,0
1999,CLEVELAND CAVALIERS,HOUSTON ROCKETS,4,4.4,3,1
1999,PORTLAND TRAIL BLAZERS,LOS ANGELES CLIPPERS,-15.2,-16.2,-15.4,0
1999,DENVER NUGGETS,SAN ANTONIO SPURS,14.7,16.4,14,1
1999,MINNESOTA TIMBERWOLVES,UTAH JAZZ,6.1,6.9,9.8,1
1999,ATLANTA HAWKS,DETROIT PISTONS,0.5,0.9,-1,0
1999,BOSTON CELTICS,INDIANA PACERS,5.6,6.4,5.3,1
1999,NEW JERSEY NETS,MIAMI HEAT,8.8,10,9.4,1
1999,CHARLOTTE HORNETS,NEW YORK KNICKS,1.1,1.2,0.4,1
1999,HOUSTON ROCKETS,PHOENIX SUNS,0,-0.3,0.6,1
1999,LOS ANGELES LAKERS,SACRAMENTO KINGS,-3.4,-3.7,-3.3,1
1999,LOS ANGELES CLIPPERS,SEATTLE SUPERSONICS,7.7,8.7,8.8,1
1999,MILWAUKEE BUCKS,WASHINGTON WIZARDS,-3.9,-4.1,-3.6,1
1999,CLEVELAND CAVALIERS,CHICAGO BULLS,-7.8,-8.5,-7.3,0
1999,PORTLAND TRAIL BLAZERS,DALLAS MAVERICKS,-8.8,-9.3,-8.2,0
1999,VANCOUVER GRIZZLIES,DENVER NUGGETS,2.1,2,1.5,1
1999,SACRAMENTO KINGS,GOLDEN STATE WARRIORS,-2.1,-2.5,-2.8,0
1999,NEW YORK KNICKS,MILWAUKEE BUCKS,0.7,0.6,-0.3,0
1999,UTAH JAZZ,MINNESOTA TIMBERWOLVES,-6.1,-6.9,-9.8,0
1999,PHILADELPHIA 76ERS,ORLANDO MAGIC,0.5,0.2,0.1,1
1999,CHARLOTTE HORNETS,TORONTO RAPTORS,-1.5,-1.9,-2.2,1
1999,DETROIT PISTONS,CLEVELAND CAVALIERS,-5.1,-5.9,-2.2,1
1999,PORTLAND TRAIL BLAZERS,HOUSTON ROCKETS,-4.1,-4.1,-3.3,1
1999,ATLANTA HAWKS,INDIANA PACERS,0.8,1.2,0.1,0
